usage_date,connector,owner,environment,rows_synced,connector_cost_usd,warehouse_cost_usd,total_cost_usd,cost_per_million_rows_usd
2026-02-06,subscription_events,growth,production,2323647,96.11,40.2,136.31,58.66
2026-02-06,warehouse_inventory,operations,production,1146499,71.92,25.93,97.84,85.34
2026-02-06,zendesk_tickets,support,production,283889,37.55,12.21,49.75,175.24
2026-02-07,google_ads,marketing,production,663520,49.34,19.19,68.53,103.28
2026-02-07,meta_ads,marketing,production,684454,46.87,21.32,68.19,99.63
2026-02-07,netsuite_finance,finance,production,434071,59.48,16.1,75.58,174.12
2026-02-07,product_analytics,product,production,1316932,67.6,24.85,92.46,70.21
2026-02-07,shopify_orders,commerce,production,1298494,59.15,23.79,82.95,63.88
2026-02-07,subscription_events,growth,production,1687525,69.8,34.94,104.75,62.07
2026-02-07,warehouse_inventory,operations,production,844880,53.0,18.73,71.73,84.9
2026-02-07,zendesk_tickets,support,production,248768,32.9,15.27,48.17,193.63
2026-02-08,google_ads,marketing,production,648461,48.22,19.11,67.33,103.83
2026-02-08,meta_ads,marketing,production,726837,49.77,21.17,70.94,97.6
2026-02-08,netsuite_finance,finance,production,500161,68.54,16.55,85.09,170.13
2026-02-08,product_analytics,product,production,1318018,67.66,24.46,92.12,69.89
2026-02-08,shopify_orders,commerce,production,1536893,70.01,30.57,100.59,65.45
2026-02-08,subscription_events,growth,production,1849169,76.49,34.35,110.83,59.94
2026-02-08,warehouse_inventory,operations,production,839755,52.68,19.67,72.34,86.14
2026-02-08,zendesk_tickets,support,production,260808,34.49,13.04,47.54,182.28
2026-02-09,google_ads,marketing,production,764465,56.84,18.13,74.98,98.08
2026-02-09,meta_ads,marketing,production,884265,60.55,23.86,84.41,95.46
2026-02-09,netsuite_finance,finance,production,485044,66.47,15.17,81.64,168.31
2026-02-09,product_analytics,product,production,1561468,80.16,30.86,111.02,71.1
2026-02-09,shopify_orders,commerce,production,2016722,91.87,37.35,129.22,64.07
2026-02-09,subscription_events,growth,production,2553743,105.63,44.19,149.82,58.67
2026-02-09,warehouse_inventory,operations,production,1136673,71.3,21.49,92.79,81.63
2026-02-09,zendesk_tickets,support,production,327885,43.37,9.75,53.12,162.01
2026-02-10,google_ads,marketing,production,752229,55.94,15.68,71.62,95.21
2026-02-10,meta_ads,marketing,production,873237,59.8,20.87,80.67,92.38
2026-02-10,netsuite_finance,finance,production,539337,73.91,16.43,90.34,167.5
2026-02-10,product_analytics,product,production,1531014,78.59,27.19,105.78,69.09
2026-02-10,shopify_orders,commerce,production,1528505,69.63,28.27,97.9,64.05
2026-02-10,subscription_events,growth,production,2214790,91.61,41.1,132.71,59.92
2026-02-10,warehouse_inventory,operations,production,972226,60.99,23.32,84.3,86.71
2026-02-10,zendesk_tickets,support,production,338399,44.76,16.01,60.77,179.58
2026-02-11,google_ads,marketing,production,915369,68.07,23.62,91.69,100.17
2026-02-11,meta_ads,marketing,production,863647,59.14,20.98,80.12,92.77
2026-02-11,netsuite_finance,finance,production,584661,80.12,15.22,95.34,163.07
2026-02-11,product_analytics,product,production,1466200,75.26,28.57,103.84,70.82
2026-02-11,shopify_orders,commerce,production,1753386,79.88,31.16,111.04,63.33
2026-02-11,subscription_events,growth,production,2117063,87.57,35.79,123.36,58.27
2026-02-11,warehouse_inventory,operations,production,1100122,69.01,22.19,91.2,82.9
2026-02-11,zendesk_tickets,support,production,333448,44.1,11.89,55.99,167.91
2026-02-12,google_ads,marketing,production,783264,58.24,19.6,77.84,99.38
2026-02-12,meta_ads,marketing,production,1042539,71.39,25.83,97.22,93.25
2026-02-12,netsuite_finance,finance,production,530265,72.67,15.04,87.71,165.41
2026-02-12,product_analytics,product,production,1363850,70.01,24.95,94.96,69.63
2026-02-12,shopify_orders,commerce,production,1648961,75.12,34.33,109.45,66.38
2026-02-12,subscription_events,growth,production,2259672,93.47,43.19,136.66,60.48
2026-02-12,warehouse_inventory,operations,production,1150359,72.16,26.33,98.49,85.62
2026-02-12,zendesk_tickets,support,production,344857,45.61,15.23,60.84,176.42
2026-02-13,google_ads,marketing,production,725537,53.95,17.33,71.28,98.24
2026-02-13,meta_ads,marketing,production,906427,62.07,21.89,83.96,92.63
2026-02-13,netsuite_finance,finance,production,547565,75.04,13.67,88.71,162.01
2026-02-13,product_analytics,product,production,1287634,66.1,26.57,92.67,71.97
2026-02-13,shopify_orders,commerce,production,2061965,93.93,34.94,128.87,62.5
2026-02-13,subscription_events,growth,production,2246841,92.94,41.2,134.14,59.7
2026-02-13,warehouse_inventory,operations,production,1144090,71.77,22.62,94.39,82.5
2026-02-13,zendesk_tickets,support,production,329636,43.6,16.42,60.01,182.05
2026-02-14,google_ads,marketing,production,694199,51.62,19.89,71.51,103.01
2026-02-14,meta_ads,marketing,production,715707,49.01,20.65,69.66,97.33
2026-02-14,netsuite_finance,finance,production,466184,63.88,14.31,78.19,167.72
2026-02-14,product_analytics,product,production,1234712,63.38,28.76,92.14,74.62
2026-02-14,shopify_orders,commerce,production,1404223,63.97,28.73,92.7,66.02
2026-02-14,subscription_events,growth,production,1906085,78.84,38.37,117.22,61.5
2026-02-14,warehouse_inventory,operations,production,893558,56.05,20.93,76.98,86.15
2026-02-14,zendesk_tickets,support,production,258758,34.22,9.49,43.71,168.92
2026-02-15,google_ads,marketing,production,654759,48.69,17.1,65.79,100.48
2026-02-15,meta_ads,marketing,production,777232,53.22,16.62,69.85,89.87
2026-02-15,netsuite_finance,finance,production,421426,57.75,16.53,74.28,176.26
2026-02-15,product_analytics,product,production,1182276,60.69,27.13,87.82,74.28
2026-02-15,shopify_orders,commerce,production,1475599,67.22,29.54,96.77,65.58
2026-02-15,subscription_events,growth,production,1877725,77.67,32.05,109.72,58.43
2026-02-15,warehouse_inventory,operations,production,816488,51.22,21.92,73.14,89.58
2026-02-15,zendesk_tickets,support,production,307272,40.64,13.47,54.11,176.1
2026-02-16,google_ads,marketing,production,925714,68.84,20.85,89.68,96.88
2026-02-16,meta_ads,marketing,production,861933,59.02,23.14,82.16,95.32
2026-02-16,netsuite_finance,finance,production,477250,65.4,14.86,80.26,168.17
2026-02-16,product_analytics,product,production,1859702,95.46,31.5,126.97,68.27
2026-02-16,shopify_orders,commerce,production,1537298,70.03,30.24,100.27,65.22
2026-02-16,subscription_events,growth,production,2055372,85.02,39.49,124.51,60.58
2026-02-16,warehouse_inventory,operations,production,1298624,81.46,24.84,106.3,81.86
2026-02-16,zendesk_tickets,support,production,294826,38.99,13.69,52.68,178.68
2026-02-17,google_ads,marketing,production,780351,58.03,22.37,80.4,103.03
2026-02-17,meta_ads,marketing,production,1059234,72.53,22.0,94.54,89.25
2026-02-17,netsuite_finance,finance,production,544844,74.66,13.44,88.1,161.7
2026-02-17,product_analytics,product,production,1582866,81.25,31.93,113.18,71.5
2026-02-17,shopify_orders,commerce,production,1783891,81.27,31.0,112.26,62.93
2026-02-17,subscription_events,growth,production,2281283,94.36,37.31,131.67,57.72
2026-02-17,warehouse_inventory,operations,production,1101093,69.07,20.8,89.87,81.62
2026-02-17,zendesk_tickets,support,production,326254,43.15,11.56,54.71,167.69
2026-02-18,google_ads,marketing,production,752839,55.98,15.84,71.82,95.4
2026-02-18,meta_ads,marketing,production,942510,64.54,24.32,88.86,94.28
2026-02-18,netsuite_finance,finance,production,616036,84.42,16.54,100.96,163.89
2026-02-18,product_analytics,product,production,1667337,85.59,28.71,114.3,68.55
2026-02-18,shopify_orders,commerce,production,1858131,84.65,33.24,117.89,63.45
2026-02-18,subscription_events,growth,production,2288850,94.68,37.76,132.43,57.86
2026-02-18,warehouse_inventory,operations,production,1058203,66.38,22.43,88.81,83.93
2026-02-18,zendesk_tickets,support,production,314015,41.53,11.14,52.67,167.73
2026-02-19,google_ads,marketing,production,730484,54.32,20.84,75.16,102.89
2026-02-19,meta_ads,marketing,production,1005247,68.84,25.39,94.23,93.74
2026-02-19,netsuite_finance,finance,production,539575,73.94,13.5,87.44,162.05
2026-02-19,product_analytics,product,production,1505178,77.27,30.55,107.82,71.63
2026-02-19,shopify_orders,commerce,production,1905099,86.79,32.37,119.15,62.54
2026-02-19,subscription_events,growth,production,2495560,103.23,43.18,146.4,58.66
2026-02-19,warehouse_inventory,operations,production,1102522,69.16,24.03,93.19,84.52
2026-02-19,zendesk_tickets,support,production,322959,42.71,14.02,56.73,175.66
2026-02-20,google_ads,marketing,production,901137,67.01,20.19,87.2,96.77
2026-02-20,meta_ads,marketing,production,816998,55.95,19.36,75.3,92.17
2026-02-20,netsuite_finance,finance,production,549771,75.34,17.5,92.84,168.87
2026-02-20,product_analytics,product,production,1669678,85.71,32.12,117.83,70.57
2026-02-20,shopify_orders,commerce,production,1881910,85.73,32.33,118.06,62.73
2026-02-20,subscription_events,growth,production,2348490,97.14,41.25,138.39,58.93
2026-02-20,warehouse_inventory,operations,production,1096858,68.8,27.0,95.8,87.34
2026-02-20,zendesk_tickets,support,production,337609,44.65,12.02,56.67,167.86
2026-02-21,google_ads,marketing,production,658219,48.94,16.23,65.18,99.02
2026-02-21,meta_ads,marketing,production,820477,56.18,20.22,76.4,93.12
2026-02-21,netsuite_finance,finance,production,480032,65.78,17.75,83.53,174.01
2026-02-21,product_analytics,product,production,1328551,68.2,30.15,98.35,74.03
2026-02-21,shopify_orders,commerce,production,1709110,77.86,33.5,111.36,65.16
2026-02-21,subscription_events,growth,production,1951326,80.71,37.4,118.11,60.53
2026-02-21,warehouse_inventory,operations,production,928524,58.24,22.3,80.54,86.74
2026-02-21,zendesk_tickets,support,production,279620,36.98,10.33,47.31,169.19
2026-02-22,google_ads,marketing,production,687071,51.09,20.18,71.27,103.73
2026-02-22,meta_ads,marketing,production,743347,50.9,19.56,70.47,94.8
2026-02-22,netsuite_finance,finance,production,412538,56.53,11.44,67.97,164.76
2026-02-22,product_analytics,product,production,1289781,66.21,28.4,94.61,73.35
2026-02-22,shopify_orders,commerce,production,1505596,68.59,32.79,101.38,67.34
2026-02-22,subscription_events,growth,production,1933901,79.99,35.34,115.33,59.64
2026-02-22,warehouse_inventory,operations,production,946369,59.36,22.2,81.57,86.19
2026-02-22,zendesk_tickets,support,production,240792,31.85,10.14,41.99,174.38
2026-02-23,google_ads,marketing,production,836072,62.17,17.52,79.69,95.31
2026-02-23,meta_ads,marketing,production,798166,54.66,22.69,77.35,96.91
2026-02-23,netsuite_finance,finance,production,589447,80.78,18.67,99.45,168.72
2026-02-23,product_analytics,product,production,1570816,80.64,29.54,110.18,70.14
2026-02-23,shopify_orders,commerce,production,1904870,86.78,35.11,121.89,63.99
2026-02-23,subscription_events,growth,production,2297519,95.03,42.5,137.54,59.86
2026-02-23,warehouse_inventory,operations,production,1197947,75.14,24.11,99.25,82.85
2026-02-23,zendesk_tickets,support,production,353405,46.74,14.55,61.29,173.43
2026-02-24,google_ads,marketing,production,737894,54.87,18.01,72.88,98.77
2026-02-24,meta_ads,marketing,production,972576,66.6,25.17,91.77,94.36
2026-02-24,netsuite_finance,finance,production,520683,71.35,17.75,89.1,171.12
2026-02-24,product_analytics,product,production,1638718,84.12,28.77,112.89,68.89
2026-02-24,shopify_orders,commerce,production,1829213,83.33,31.71,115.04,62.89
2026-02-24,subscription_events,growth,production,2486050,102.83,44.83,147.66,59.4
2026-02-24,warehouse_inventory,operations,production,1201944,75.39,24.46,99.86,83.08
2026-02-24,zendesk_tickets,support,production,353950,46.81,13.83,60.64,171.32
2026-02-25,google_ads,marketing,production,774917,57.62,15.93,73.56,94.93
2026-02-25,meta_ads,marketing,production,804271,55.08,20.38,75.45,93.81
2026-02-25,netsuite_finance,finance,production,503400,68.98,15.26,84.24,167.34
2026-02-25,product_analytics,product,production,1379686,70.82,31.29,102.12,74.02
2026-02-25,shopify_orders,commerce,production,2175123,99.09,39.91,139.0,63.9
2026-02-25,subscription_events,growth,production,2352341,97.3,43.4,140.7,59.81
2026-02-25,warehouse_inventory,operations,production,1064276,66.76,22.01,88.77,83.41
2026-02-25,zendesk_tickets,support,production,350251,46.32,15.68,62.0,177.02
2026-02-26,google_ads,marketing,production,811729,60.36,17.0,77.36,95.3
2026-02-26,meta_ads,marketing,production,980248,67.13,19.47,86.59,88.33
2026-02-26,netsuite_finance,finance,production,526804,72.19,13.38,85.57,162.43
2026-02-26,product_analytics,product,production,1514195,77.73,26.24,103.97,68.66
2026-02-26,shopify_orders,commerce,production,1861557,84.8,33.05,117.85,63.31
2026-02-26,subscription_events,growth,production,2199083,90.96,40.38,131.34,59.72
2026-02-26,warehouse_inventory,operations,production,1149721,72.12,22.48,94.6,82.28
2026-02-26,zendesk_tickets,support,production,324789,42.96,9.75,52.71,162.29
2026-02-27,google_ads,marketing,production,663560,49.34,14.69,64.03,96.49
2026-02-27,meta_ads,marketing,production,856456,58.65,18.66,77.31,90.27
2026-02-27,netsuite_finance,finance,production,565108,77.44,17.8,95.24,168.53
2026-02-27,product_analytics,product,production,1535421,78.82,31.71,110.53,71.99
2026-02-27,shopify_orders,commerce,production,1971639,89.82,36.84,126.66,64.24
2026-02-27,subscription_events,growth,production,2137718,88.42,35.8,124.23,58.11
2026-02-27,warehouse_inventory,operations,production,1247271,78.24,22.74,100.98,80.96
2026-02-27,zendesk_tickets,support,production,337639,44.66,16.22,60.88,180.31
2026-02-28,google_ads,marketing,production,616338,45.83,15.52,61.35,99.54
2026-02-28,meta_ads,marketing,production,744121,50.96,20.56,71.52,96.11
2026-02-28,netsuite_finance,finance,production,409757,56.15,11.12,67.27,164.17
2026-02-28,product_analytics,product,production,1358261,69.72,24.66,94.38,69.49
2026-02-28,shopify_orders,commerce,production,1534351,69.9,32.44,102.34,66.7
2026-02-28,subscription_events,growth,production,1844138,76.28,35.78,112.07,60.77
2026-02-28,warehouse_inventory,operations,production,858551,53.85,17.32,71.17,82.9
2026-02-28,zendesk_tickets,support,production,278252,36.8,15.76,52.56,188.89
2026-03-01,google_ads,marketing,production,651707,48.46,18.13,66.59,102.18
2026-03-01,meta_ads,marketing,production,741484,50.78,20.87,71.64,96.62
2026-03-01,netsuite_finance,finance,production,445911,61.11,15.29,76.4,171.33
2026-03-01,product_analytics,product,production,1258824,64.62,25.45,90.07,71.55
2026-03-01,shopify_orders,commerce,production,1464504,66.72,32.36,99.08,67.65
2026-03-01,subscription_events,growth,production,2020485,83.57,34.33,117.9,58.35
2026-03-01,warehouse_inventory,operations,production,1006930,63.16,23.64,86.8,86.2
2026-03-01,zendesk_tickets,support,production,269873,35.69,15.4,51.09,189.31
2026-03-02,google_ads,marketing,production,872295,64.86,20.21,85.07,97.52
2026-03-02,meta_ads,marketing,production,956969,65.53,20.34,85.88,89.74
2026-03-02,netsuite_finance,finance,production,571947,78.38,15.87,94.25,164.79
2026-03-02,product_analytics,product,production,1518068,77.93,29.57,107.5,70.81
2026-03-02,shopify_orders,commerce,production,2135192,97.27,35.73,133.0,62.29
2026-03-02,subscription_events,growth,production,2085775,86.28,34.45,120.73,57.88
2026-03-02,warehouse_inventory,operations,production,1002577,62.89,23.15,86.04,85.82
2026-03-02,zendesk_tickets,support,production,328801,43.49,14.05,57.53,174.97
2026-03-03,google_ads,marketing,production,790845,58.81,20.64,79.45,100.46
2026-03-03,meta_ads,marketing,production,977975,66.97,23.61,90.58,92.62
2026-03-03,netsuite_finance,finance,production,604077,82.78,16.48,99.26,164.32
2026-03-03,product_analytics,product,production,1564666,80.32,33.35,113.67,72.65
2026-03-03,shopify_orders,commerce,production,2019484,92.0,37.28,129.28,64.02
2026-03-03,subscription_events,growth,production,2317333,95.85,42.6,138.45,59.75
2026-03-03,warehouse_inventory,operations,production,1140141,71.52,23.49,95.0,83.32
2026-03-03,zendesk_tickets,support,production,336073,44.45,15.22,59.67,177.55
2026-03-04,google_ads,marketing,production,757347,56.32,19.06,75.38,99.53
2026-03-04,meta_ads,marketing,production,898438,61.52,19.78,81.3,90.49
2026-03-04,netsuite_finance,finance,production,605677,83.0,13.87,96.87,159.94
2026-03-04,product_analytics,product,production,1342102,68.89,23.89,92.79,69.14
2026-03-04,shopify_orders,commerce,production,1859009,84.69,34.67,119.36,64.21
2026-03-04,subscription_events,growth,production,2229014,92.2,38.4,130.6,58.59
2026-03-04,warehouse_inventory,operations,production,1116425,70.03,22.97,93.0,83.3
2026-03-04,zendesk_tickets,support,production,336302,44.48,10.21,54.69,162.62
2026-03-05,google_ads,marketing,production,766246,56.98,16.57,73.54,95.97
2026-03-05,meta_ads,marketing,production,1053048,72.11,20.82,92.93,88.25
2026-03-05,netsuite_finance,finance,production,662527,90.79,19.68,110.47,166.74
2026-03-05,product_analytics,product,production,1569220,80.55,27.04,107.6,68.57
2026-03-05,shopify_orders,commerce,production,1590040,72.44,33.26,105.69,66.47
2026-03-05,subscription_events,growth,production,2017031,83.43,35.95,119.39,59.19
2026-03-05,warehouse_inventory,operations,production,1094302,68.64,25.13,93.78,85.7
2026-03-05,zendesk_tickets,support,production,250331,33.11,15.21,48.32,193.02
2026-03-06,google_ads,marketing,production,865490,64.36,24.04,88.4,102.14
2026-03-06,meta_ads,marketing,production,1004372,68.78,20.22,89.0,88.61
2026-03-06,netsuite_finance,finance,production,617625,84.64,14.64,99.28,160.74
2026-03-06,product_analytics,product,production,1589601,81.6,30.54,112.14,70.55
2026-03-06,shopify_orders,commerce,production,1982266,90.3,36.43,126.73,63.93
2026-03-06,subscription_events,growth,production,2536709,104.93,45.8,150.73,59.42
2026-03-06,warehouse_inventory,operations,production,1263961,79.28,25.44,104.73,82.86
2026-03-06,zendesk_tickets,support,production,298826,39.52,15.06,54.58,182.65
2026-03-07,google_ads,marketing,production,587521,43.69,15.27,58.96,100.35
2026-03-07,meta_ads,marketing,production,758764,51.96,15.94,67.89,89.47
2026-03-07,netsuite_finance,finance,production,378108,51.81,10.88,62.7,165.83
2026-03-07,product_analytics,product,production,1255856,64.47,27.92,92.39,73.57
2026-03-07,shopify_orders,commerce,production,1494538,68.08,27.19,95.27,63.75
2026-03-07,subscription_events,growth,production,1912479,79.11,36.32,115.43,60.36
2026-03-07,warehouse_inventory,operations,production,820057,51.44,22.39,73.83,90.03
2026-03-07,zendesk_tickets,support,production,253880,33.58,12.66,46.24,182.13
2026-03-08,google_ads,marketing,production,685709,50.99,17.98,68.97,100.58
2026-03-08,meta_ads,marketing,production,827758,56.68,18.96,75.64,91.38
2026-03-08,netsuite_finance,finance,production,458383,62.82,17.78,80.6,175.84
2026-03-08,product_analytics,product,production,1232274,63.26,22.99,86.24,69.98
2026-03-08,shopify_orders,commerce,production,1561452,71.13,29.43,100.56,64.4
2026-03-08,subscription_events,growth,production,1704319,70.5,32.35,102.85,60.35
2026-03-08,warehouse_inventory,operations,production,886766,55.62,23.37,78.99,89.08
2026-03-08,zendesk_tickets,support,production,270764,35.81,14.75,50.57,186.77
2026-03-09,google_ads,marketing,production,868631,64.59,18.5,83.09,95.66
2026-03-09,meta_ads,marketing,production,963425,65.97,19.73,85.7,88.95
2026-03-09,netsuite_finance,finance,production,586498,80.37,15.36,95.74,163.24
2026-03-09,product_analytics,product,production,1587080,81.47,34.09,115.56,72.81
2026-03-09,shopify_orders,commerce,production,1867805,85.09,37.57,122.66,65.67
2026-03-09,subscription_events,growth,production,2340143,96.8,42.68,139.48,59.6
2026-03-09,warehouse_inventory,operations,production,1022888,64.16,19.37,83.53,81.66
2026-03-09,zendesk_tickets,support,production,319519,42.26,15.97,58.22,182.21
2026-03-10,google_ads,marketing,production,667392,49.63,21.09,70.71,105.95
2026-03-10,meta_ads,marketing,production,942650,64.55,24.52,89.07,94.49
2026-03-10,netsuite_finance,finance,production,594193,81.43,18.45,99.87,168.08
2026-03-10,product_analytics,product,production,1422977,73.05,26.94,99.99,70.27
2026-03-10,shopify_orders,commerce,production,2068314,94.22,37.3,131.52,63.59
2026-03-10,subscription_events,growth,production,2338253,96.72,44.52,141.24,60.4
2026-03-10,warehouse_inventory,operations,production,1047459,65.7,23.54,89.24,85.2
2026-03-10,zendesk_tickets,support,production,316630,41.88,15.5,57.38,181.22
2026-03-11,google_ads,marketing,production,737208,54.82,20.76,75.58,102.52
2026-03-11,meta_ads,marketing,production,931368,63.78,18.91,82.68,88.77
2026-03-11,netsuite_finance,finance,production,574857,78.78,19.89,98.67,171.64
2026-03-11,product_analytics,product,production,1493514,76.67,32.38,109.05,73.02
2026-03-11,shopify_orders,commerce,production,2139167,97.45,40.2,137.65,64.35
2026-03-11,subscription_events,growth,production,2520192,104.24,44.17,148.42,58.89
2026-03-11,warehouse_inventory,operations,production,1194620,74.94,27.28,102.22,85.57
2026-03-11,zendesk_tickets,support,production,311480,41.2,16.26,57.46,184.47
2026-03-12,google_ads,marketing,production,753165,56.0,20.27,76.28,101.28
2026-03-12,meta_ads,marketing,production,841306,57.61,17.12,74.73,88.83
2026-03-12,netsuite_finance,finance,production,531075,72.78,17.61,90.39,170.2
2026-03-12,product_analytics,product,production,1518306,77.94,26.29,104.23,68.65
2026-03-12,shopify_orders,commerce,production,1992055,90.75,33.15,123.9,62.2
2026-03-12,subscription_events,growth,production,2196912,90.87,40.11,130.98,59.62
2026-03-12,warehouse_inventory,operations,production,1213126,76.1,22.33,98.42,81.13
2026-03-12,zendesk_tickets,support,production,289857,38.34,14.47,52.81,182.19
2026-03-13,google_ads,marketing,production,792203,58.91,20.79,79.7,100.61
2026-03-13,meta_ads,marketing,production,998228,68.36,21.78,90.14,90.3
2026-03-13,netsuite_finance,finance,production,634294,86.92,19.85,106.78,168.34
2026-03-13,product_analytics,product,production,1549607,79.55,28.01,107.55,69.4
2026-03-13,shopify_orders,commerce,production,1924445,87.67,36.68,124.35,64.62
2026-03-13,subscription_events,growth,production,2251911,93.15,38.45,131.6,58.44
2026-03-13,warehouse_inventory,operations,production,1117760,70.11,24.78,94.89,84.89
2026-03-13,zendesk_tickets,support,production,299525,39.61,15.16,54.78,182.89
2026-03-14,google_ads,marketing,production,774380,57.58,17.92,75.5,97.5
2026-03-14,meta_ads,marketing,production,702802,48.13,20.49,68.62,97.64
2026-03-14,netsuite_finance,finance,production,486023,66.6,18.79,85.39,175.69
2026-03-14,product_analytics,product,production,1469364,75.43,26.51,101.94,69.38
2026-03-14,shopify_orders,commerce,production,1615933,73.61,30.02,103.63,64.13
2026-03-14,subscription_events,growth,production,1916093,79.26,38.23,117.49,61.32
2026-03-14,warehouse_inventory,operations,production,856180,53.71,21.15,74.86,87.43
2026-03-14,zendesk_tickets,support,production,259959,34.38,9.6,43.98,169.18
2026-03-15,google_ads,marketing,production,628046,46.7,18.23,64.94,103.4
2026-03-15,meta_ads,marketing,production,827323,56.65,16.71,73.36,88.67
2026-03-15,netsuite_finance,finance,production,406095,55.65,15.95,71.6,176.31
2026-03-15,product_analytics,product,production,1135435,58.29,27.26,85.55,75.35
2026-03-15,shopify_orders,commerce,production,1744331,79.46,29.89,109.35,62.69
2026-03-15,subscription_events,growth,production,1883326,77.9,33.01,110.91,58.89
2026-03-15,warehouse_inventory,operations,production,883335,55.41,19.36,74.77,84.65
2026-03-15,zendesk_tickets,support,production,291293,38.53,12.02,50.55,173.54
2026-03-16,google_ads,marketing,production,776331,57.73,17.56,75.29,96.98
2026-03-16,meta_ads,marketing,production,1024420,70.15,23.92,94.07,91.83
2026-03-16,netsuite_finance,finance,production,669338,91.72,18.3,110.03,164.39
2026-03-16,product_analytics,product,production,1725485,88.57,33.88,122.45,70.97
2026-03-16,shopify_orders,commerce,production,1818671,82.85,35.66,118.51,65.16
2026-03-16,subscription_events,growth,production,2455242,101.56,42.71,144.26,58.76
2026-03-16,warehouse_inventory,operations,production,1190395,74.67,27.15,101.82,85.53
2026-03-16,zendesk_tickets,support,production,346431,45.82,10.94,56.76,163.84
2026-03-17,google_ads,marketing,production,792924,58.96,22.79,81.75,103.1
2026-03-17,meta_ads,marketing,production,1026022,70.26,20.08,90.34,88.05
2026-03-17,netsuite_finance,finance,production,609106,83.47,20.25,103.72,170.28
2026-03-17,product_analytics,product,production,1470808,75.5,29.2,104.71,71.19
2026-03-17,shopify_orders,commerce,production,1833156,83.51,31.96,115.47,62.99
2026-03-17,subscription_events,growth,production,1913086,79.13,32.24,111.37,58.21
2026-03-17,warehouse_inventory,operations,production,1086275,68.14,20.5,88.63,81.59
